"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"Pin_D1.0mm_L10.0mm";4;"Pin_D1.0mm_L10.0mm";;;
2;"REF**,REF**,REF**,REF**";"MountingHole_2.5mm";4;"MountingHole_2.5mm";;;
3;"U2,U5,U3,U4";"Everlight_ITR8307";4;"ITR8307";;;
4;"C1,C2";"CP_Radial_D8.0mm_P5.00mm";2;"3F";;;
5;"C3,C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22p";;;
6;"C5,C6,C11,C12";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"10nF";;;
7;"C7,C8";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100n";;;
8;"C9,C10";"CP_Elec_4x5.3";2;"10uF";;;
9;"CI1,CI2";"OnSemi_Micro8";2;"LB1938FA-BH";;;
10;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
11;"J1";"SolderWirePad_1x02_P7.62mm_Drill2mm";1;"Conn_01x02";;;
12;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
13;"M1,M2";"SolderWirePad_1x02_P5.08mm_Drill1.5mm";2;"Motor_DC";;;
14;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1K";;;
15;"R2,R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10K";;;
16;"R4,R5,R6,R7,R8,R9,R10,R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"220";;;
17;"SW1";"SolderWirePad_1x02_P5.08mm_Drill1.5mm";1;"SW_DIP_x01";;;
18;"SW2,SW3";"SW_Push_1P1T_NO_6x6mm_H9.5mm";2;"SW_Push";;;
19;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328-PU";;;
20;"Y1";"Crystal_SMD_SeikoEpson_MA505-2Pin_12.7x5.1mm_HandSoldering";1;"16Mhz";;;
